Tract Code,Tract Income Level,Distressed or Under,Tract Median Family Income %,2021 FFIEC Est. MSA/MD non-MSA/MD Median Family Income,2021 Est. Tract Median Family Income,2015 Tract Median Family Income,Tract Population,Tract Minority %,Minority Population,Owner Occupied Units,1- to 4- Family Units,Total Housing Units,Median House Age (Years),Inside Principal City?,Owner Occupied Units,Vacant Units,Owner Occupied 1- to 4- Family Units,Renter Occupied Units
7054,Upper,No,221.91,"$129,900 ","$288,261 ","$250,001 ",2927,9.16,268,992,1117,1117,76,No,992,76,992,49
7055.01,Upper,No,146.18,"$129,900 ","$189,888 ","$164,688 ",2514,22.16,557,504,8,1635,41,Yes,504,196,0,935
7055.02,Upper,No,220.6,"$129,900 ","$286,559 ","$248,523 ",3842,13.46,517,1285,1189,1549,60,Yes,1285,89,1116,175
7056.01,Upper,No,194.09,"$129,900 ","$252,123 ","$218,661 ",2887,18.6,537,943,1061,1061,75,Yes,943,75,943,43
7056.02,Upper,No,136.51,"$129,900 ","$177,326 ","$153,793 ",4687,29.7,1392,1082,352,2821,43,Yes,1082,178,184,1561
7057.01,Upper,No,196.95,"$129,900 ","$255,838 ","$221,875 ",4501,17.33,780,1285,1217,1883,57,Yes,1285,146,1163,452
7057.02,Upper,No,203.05,"$129,900 ","$263,762 ","$228,750 ",4746,11.9,565,1549,1342,1829,53,Yes,1549,60,1243,220
7058,Upper,No,195.91,"$129,900 ","$254,487 ","$220,703 ",6227,15.08,939,1960,2120,2362,53,No,1960,76,1928,326
7059.01,Upper,No,212.81,"$129,900 ","$276,440 ","$239,750 ",4077,25.9,1056,1332,1429,1662,50,Yes,1332,244,1244,86
7059.02,Upper,No,213.44,"$129,900 ","$277,259 ","$240,455 ",4179,33.38,1395,1341,1450,1512,54,Yes,1341,23,1334,148
